op,g,ex,rm,ud,pf,66,67,fc,fpu,pm,uc,fb,w,d,sr,ar,nea,io,flds,mc,mnemonic,dw_mnemonic,alt_names,lck,rep,so,reg,m,copt1,copt2,copt3,gop1,gop2,gop3,f_tested,f_mod,f_def,f_undef,f_values,exceptions,description
C9,,,,0,0,1,0,0,0,0,,,,,,,,0,,,LEAVE,,,0,0,1,1,1,BP,,,,,,,,,,,,High Level Procedure Exit
CA,,,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,,RETF,,,0,0,0,0,0,imm16,,,Iw,,,,,,,,,Return from procedure
CB,,,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,,RETF,,,0,0,0,0,0,,,,,,,,,,,,,Return from procedure
CC,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,,INT3,,,0,0,0,0,0,3,eFlags,,3,Fv,,,..i.....,..i.....,,..i.....,3,Call to Interrupt Procedure
CD,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,,INT,,,0,0,0,0,0,imm8,eFlags,,Ib,Fv,,,..i.....,..i.....,,..i.....,*,Call to Interrupt Procedure
CE,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,,INTO,,,0,0,0,0,0,,,,Fv,,,o.......,..i.....,..i.....,,..i.....,,Call to Interrupt Procedure
CF,,,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,,IRET,IRETD,,0,0,0,0,0,,,,Fwo,,,,odiszapc,,,,,Interrupt Return
D0,2,0,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,ROL,,,0,0,1,1,1,r/m8,,,Eb,1,,,o......c,o..szapc,,,,Rotate
D0,2,1,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,ROR,,,0,0,1,1,1,r/m8,,,Eb,1,,,o......c,o..szapc,,,,Rotate
D0,2,2,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,RCL,,,0,0,1,1,1,r/m8,,,Eb,1,,.......c,o......c,o..szapc,,,,Rotate
D0,2,3,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,RCR,,,0,0,1,1,1,r/m8,,,Eb,1,,.......c,o......c,o..szapc,,,,Rotate
D0,2,4,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,SHL,,SAL,0,0,1,1,1,r/m8,,,Eb,1,,,o..sz.pc,o..sz.pc,.....a..,,,Shift
D0,2,5,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,SHR,,,0,0,1,1,1,r/m8,,,Eb,1,,,o..sz.pc,o..sz.pc,.....a..,...s.a..,,Shift
D0,2,6,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,SETMO,,,0,0,1,1,1,r/m8,,,Eb,1,,,o..szapc,........,o..szapc,o..SzaPc,,SETMO: Undocumented instruction
D0,2,7,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,SAR,,,0,0,1,1,1,r/m8,,,Eb,1,,,o..sz.pc,o..sz.pc,.....a..,o....a..,,Shift
D1,2,0,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,ROL,,,0,0,1,1,1,r/m16/32,,,Evqp,1,,,o......c,o..szapc,,,,Rotate
D1,2,1,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,ROR,,,0,0,1,1,1,r/m16/32,,,Evqp,1,,,o......c,o..szapc,,,,Rotate
D1,2,2,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,RCL,,,0,0,1,1,1,r/m16/32,,,Evqp,1,,.......c,o......c,o..szapc,,,,Rotate
D1,2,3,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,RCR,,,0,0,1,1,1,r/m16/32,,,Evqp,1,,.......c,o......c,o..szapc,,,,Rotate
D1,2,4,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,SHL,,SAL,0,0,1,1,1,r/m16/32,,,Evqp,1,,,o..sz.pc,o..sz.pc,.....a..,,,Shift
D1,2,5,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,SHR,,,0,0,1,1,1,r/m16/32,,,Evqp,1,,,o..sz.pc,o..sz.pc,.....a..,...s.a..,,Shift
